"SKU","Товар","Единица измерения","Цена"
"sku_4fb7922a","Светодиод быстрого монтажа 0.8 Вт зеленый, Китай","RUB","909090"
"sku_faeaefdf","Светодиодный модуль GLANZEN RPD-6500-24-14-MR,","RUB","246"
"sku_4beef054","Светодиодный модуль GLANZEN RPD-6500-28-22-MR,","RUB","235"
"sku_7c5298f3","Светодиодный модуль GLANZEN RPD-6500-36-18-MS,","RUB","234"
"sku_0ee40314","Светодиодный модуль GLANZEN RPD-6500-36-19-MR,","RUB","300"
"sku_956522c0","Блок питания DC12 150W 12.5A ,","RUB","665"
"sku_18028415","Блок питания DC12 200W 16.5A ,","RUB","850"
"sku_7133f0e9","Блок питания для с/д  ленты 12В  15Вт (200), LEEK","RUB","200"
"sku_cebf0270","Блок питания для с/д  ленты 12В  25Вт (100), LEEK","RUB","260"
"sku_d88247bd","Блок питания для с/д  ленты 12В  60Вт (120), LEEK","RUB","374"
"sku_196a43d4","Блок питания для с/д  ленты 12В 100Вт (40),","RUB","565"
"sku_28d21cdc","Блок питания для с/д ленты компактный 12В 100Вт IP20 (50),","RUB","570"
"sku_515c7cc5","Блок питания для с/д ленты с вилкой 12В 36Вт IP20 (100), LEEK","RUB","287"
"sku_995dd8cd","Блок питания для с/д ленты с вилкой 12В 48Вт IP20 (50), LEEK","RUB","437"
"sku_0bfb635f","Блок питания для с/д ленты с вилкой 12В 72Вт IP20 (50), LEEK","RUB","550"
"sku_9b81b6a4","Блок питания для с/д ленты ультратонкий 12В 36Вт IP20 (100),","RUB","240"
"sku_4b5be18e","Драйвер ОНЛАЙТ 80 990 OD-E36-IP20-12V, Navigator Group","RUB","348.32"
"sku_f2a19eee","Драйвер ОНЛАЙТ 80 992 OD-P60-IP20-12V, Navigator Group","RUB","305.48"
"sku_3ccc127e","Драйвер ОНЛАЙТ 80 996 OD-P200-IP20-12V, Navigator Group","RUB","676.74"
"sku_ad6284c1","Блок питания для с/д ленты 24В IP20 100Вт (65), LEEK","RUB","720"
"sku_94585ec2","Блок питания для с/д ленты 24В IP20 150Вт (50), LEEK","RUB","861"
"sku_27d8024e","Драйвет ОНЛАЙТ 80 831 OD-P60-IP67-12V,","RUB","851.8"
"sku_f2df8017","RGB усилитель 288Вт для светодиодных лент 12-24В IP20 (100), LEEK","RUB","400"
"sku_3f57f28a","Контроллер  72Вт  для ленты RGB 12-24В (200), LEEK","RUB","70"
"sku_497f7d9c","Контроллер 144Вт  для ленты RGB 12-24В (200), LEEK","RUB","281"
"sku_85b5c19b","Контроллер 288Вт для ленты RGB 12-24В (100), LEEK","RUB","837"
"sku_d129c44e","Лента с/д LE 5050-60 14,4Вт 6500K IP67 220В (50м), LEEK","RUB","104"
"sku_b73e35a6","Лента с/д LE 5050-60 14,4Вт RGB IP67 220В (50м), LEEK","RUB","136"
"sku_9c396959","Переходник для с/д ленты NEON 220В 10*18мм IP20 (10шт/упак) (1/500) LE010632-023, LEEK","RUB","42.4"
"sku_fa33c1e1","Переходник для с/д ленты NEON 220В 8*16мм IP20  (10шт/упак) (1/500) LE010632-022, LEEK","RUB","42.4"
"sku_9031292f","Сетевой шнур для  20 м ленты 5050 220В (80), LEEK","RUB","84.3"
"sku_9e57827e","Сетевой шнур для RGB ленты 220В с контроллером с кнопкой (50), LEEK","RUB","258"
"sku_84f3062e","Сетевой шнур для RGB ленты 220В с контроллером с пультом ДУ (50 )LE010631-012 , LEEK","RUB","648"
"sku_611377a6","Сетевой шнур с выключателем для 20 м ленты 5050 220В (80), LEEK","RUB","163"
"sku_cfbebff9","Лента с/д LE 2835-180 14,4Вт 6500К IP20 12В (5м) (500м), LEEK","RUB","685"
"sku_d1fa27f8","СД Лента ОНЛАЙТ 80 941 OLS-2835CW60-4.8-IP20-12V, Navigator Group","RUB","152.46"
"sku_c252d810","СД Лента ОНЛАЙТ 80 942 OLS-2835CW60-4.8-IP65-12V, Navigator Group","RUB","271.72"
"sku_c9a12786","СД Лента ОНЛАЙТ 80 943 OLS-2835WW60-4.8-IP20-12V, Navigator Group","RUB","190.58"
"sku_d85e741c","СД Лента ОНЛАЙТ 80 947 OLS-2835B60-4.8-IP20-12V, Navigator Group","RUB","167.32"
"sku_95b47aea","СД Лента ОНЛАЙТ 80 949 OLS-2835G60-4.8-IP20-12V, Navigator Group","RUB","167.32"
"sku_32aba05b","СД Лента ОНЛАЙТ 80 951 OLS-2835R60-4.8-IP20-12V, Navigator Group","RUB","167.32"
"sku_a4a88d9a","СД Лента ОНЛАЙТ 80 955 OLS-2835RGB60-4.8-IP20-12V, Navigator Group","RUB","273.6"
"sku_03559f24","СД Лента ОНЛАЙТ 80 956 OLS-2835CW120-9.6-IP20-12V, Navigator Group","RUB","359.5"
"sku_4ebcfccb","СД Лента ОНЛАЙТ 80 958 OLS-2835WW120-9.6-IP20-12V, Navigator Group","RUB","359.5"
"sku_d4229afe","СД Лента ОНЛАЙТ 80 960 OLS-2835W120-9.6-IP20-12V, Navigator Group","RUB","359.5"
"sku_454e79d4","СД Лента  ОНЛАЙТ 80 970 OLS-5050WW60-14.4-IP20-12V(3000 К), Navigator Group","RUB","329.21"
"sku_c9e00fd5","СД Лента  ОНЛАЙТ 80 971 OLS-5050WW60-14.4-IP65-12V(3000 К), Navigator Group","RUB","463.28"
"sku_e1ac396d","СД Лента ОНЛАЙТ 80 969 OLS-5050CW60-14.4-IP65-12V, Navigator Group","RUB","463.28"
"sku_0fd4e272","СД Лента ОНЛАЙТ 80 976 OLS-5050RGB60-14.4-IP20-12V, Navigator Group","RUB","330.5"
"sku_a1cf291e","СД Лента ОНЛАЙТ 80 977 OLS-5050RGB60-14.4-IP65-12V, Navigator Group","RUB","417.9"
"sku_de8f4f0a","Лента с/д LEEK 5630-60 19,2Вт 6500K IP20 12В (5м) (500м), Китай","RUB","474"
"sku_f7aad77b","Набор светодиодной RGB ленты 5 м GLANZEN LSL-0070-05-RGB,","RUB","520"
"sku_d6df77c2","Профиль алюм.анодированый 2м. матовый рассеиватель 6,5*15,","RUB","267.4"
