"﻿""SKU""",Товар,"Единица измерения",Цена
sku_faeaefdf,"Светодиодный модуль GLANZEN RPD-6500-24-14-MR,",RUB,369.00
sku_4beef054,"Светодиодный модуль GLANZEN RPD-6500-28-22-MR,",RUB,352.50
sku_7c5298f3,"Светодиодный модуль GLANZEN RPD-6500-36-18-MS,",RUB,351.00
sku_0ee40314,"Светодиодный модуль GLANZEN RPD-6500-36-19-MR,",RUB,450.00
sku_956522c0,"Блок питания DC12 150W 12.5A ,",RUB,997.50
sku_18028415,"Блок питания DC12 200W 16.5A ,",RUB,1275.00
sku_7133f0e9,"Блок питания для с/д  ленты 12В  15Вт (200), LEEK",RUB,300.00
sku_cebf0270,"Блок питания для с/д  ленты 12В  25Вт (100), LEEK",RUB,390.00
sku_d88247bd,"Блок питания для с/д  ленты 12В  60Вт (120), LEEK",RUB,561.00
sku_196a43d4,"Блок питания для с/д  ленты 12В 100Вт (40),",RUB,847.50
sku_28d21cdc,"Блок питания для с/д ленты компактный 12В 100Вт IP20 (50),",RUB,855.00
sku_515c7cc5,"Блок питания для с/д ленты с вилкой 12В 36Вт IP20 (100), LEEK",RUB,430.50
sku_995dd8cd,"Блок питания для с/д ленты с вилкой 12В 48Вт IP20 (50), LEEK",RUB,655.50
sku_0bfb635f,"Блок питания для с/д ленты с вилкой 12В 72Вт IP20 (50), LEEK",RUB,825.00
sku_9b81b6a4,"Блок питания для с/д ленты ультратонкий 12В 36Вт IP20 (100),",RUB,360.00
sku_4b5be18e,"Драйвер ОНЛАЙТ 80 990 OD-E36-IP20-12V, Navigator Group",RUB,522.48
sku_f2a19eee,"Драйвер ОНЛАЙТ 80 992 OD-P60-IP20-12V, Navigator Group",RUB,458.22
sku_3ccc127e,"Драйвер ОНЛАЙТ 80 996 OD-P200-IP20-12V, Navigator Group",RUB,1015.11
sku_ad6284c1,"Блок питания для с/д ленты 24В IP20 100Вт (65), LEEK",RUB,1080.00
sku_94585ec2,"Блок питания для с/д ленты 24В IP20 150Вт (50), LEEK",RUB,1291.50
sku_27d8024e,"Драйвет ОНЛАЙТ 80 831 OD-P60-IP67-12V,",RUB,1277.70
sku_f2df8017,"RGB усилитель 288Вт для светодиодных лент 12-24В IP20 (100), LEEK",RUB,600.00
sku_85b5c19b,"Контроллер 288Вт для ленты RGB 12-24В (100), LEEK",RUB,1255.50
sku_cfbebff9,"Лента с/д LE 2835-180 14,4Вт 6500К IP20 12В (5м) (500м), LEEK",RUB,1027.50
sku_d1fa27f8,"СД Лента ОНЛАЙТ 80 941 OLS-2835CW60-4.8-IP20-12V, Navigator Group",RUB,228.69
sku_c252d810,"СД Лента ОНЛАЙТ 80 942 OLS-2835CW60-4.8-IP65-12V, Navigator Group",RUB,407.58
sku_c9a12786,"СД Лента ОНЛАЙТ 80 943 OLS-2835WW60-4.8-IP20-12V, Navigator Group",RUB,285.87
sku_d85e741c,"СД Лента ОНЛАЙТ 80 947 OLS-2835B60-4.8-IP20-12V, Navigator Group",RUB,250.98
sku_95b47aea,"СД Лента ОНЛАЙТ 80 949 OLS-2835G60-4.8-IP20-12V, Navigator Group",RUB,250.98
sku_32aba05b,"СД Лента ОНЛАЙТ 80 951 OLS-2835R60-4.8-IP20-12V, Navigator Group",RUB,250.98
sku_a4a88d9a,"СД Лента ОНЛАЙТ 80 955 OLS-2835RGB60-4.8-IP20-12V, Navigator Group",RUB,410.40
sku_03559f24,"СД Лента ОНЛАЙТ 80 956 OLS-2835CW120-9.6-IP20-12V, Navigator Group",RUB,539.25
sku_4ebcfccb,"СД Лента ОНЛАЙТ 80 958 OLS-2835WW120-9.6-IP20-12V, Navigator Group",RUB,539.25
sku_d4229afe,"СД Лента ОНЛАЙТ 80 960 OLS-2835W120-9.6-IP20-12V, Navigator Group",RUB,539.25
sku_454e79d4,"СД Лента  ОНЛАЙТ 80 970 OLS-5050WW60-14.4-IP20-12V(3000 К), Navigator Group",RUB,493.82
sku_c9e00fd5,"СД Лента  ОНЛАЙТ 80 971 OLS-5050WW60-14.4-IP65-12V(3000 К), Navigator Group",RUB,694.92
sku_e1ac396d,"СД Лента ОНЛАЙТ 80 969 OLS-5050CW60-14.4-IP65-12V, Navigator Group",RUB,694.92
sku_0fd4e272,"СД Лента ОНЛАЙТ 80 976 OLS-5050RGB60-14.4-IP20-12V, Navigator Group",RUB,495.75
sku_a1cf291e,"СД Лента ОНЛАЙТ 80 977 OLS-5050RGB60-14.4-IP65-12V, Navigator Group",RUB,626.85
sku_de8f4f0a,"Лента с/д LEEK 5630-60 19,2Вт 6500K IP20 12В (5м) (500м), Китай",RUB,711.00
sku_f7aad77b,"Набор светодиодной RGB ленты 5 м GLANZEN LSL-0070-05-RGB,",RUB,780.00
sku_d6df77c2,"Профиль алюм.анодированый 2м. матовый рассеиватель 6,5*15,",RUB,401.10
sku_e49735aa,"Профиль встраиваемый для с/д ленты LE PRO 2000x22x7 мм цв.хром (50),",RUB,420.00
sku_dbd958ce,"Профиль накладной для с/д ленты LE PRO 2000x16x6 мм цв.хром (50),",RUB,375.00
sku_ff8f70bd,"Профиль угловой накладной для с/д ленты LE PRO 2000x16x16 мм цв.хром (50),",RUB,345.00
sku_31a5d276,"Коннектор L-образный для с/д ленты 12В 2835 IP20 (10шт/упак) (1/100), LEEK",RUB,489.00
sku_44b2dfd1,"Коннектор L-образный для с/д ленты 12В 5050 IP20 (10шт/упак) (1/100), LEEK",RUB,513.00
sku_abf3c8e9,"Коннектор L-образный для с/д ленты 12В RGB IP20 (10шт/упак) (1/100), LEEK",RUB,559.50
sku_f9a5f25e,"Коннектор X-образный для с/д ленты 12В RGB IP20 (10шт/упак) (1/100), LEEK",RUB,1158.00
sku_09e319d1,"Коннектор гибкий для с/д ленты 12В 5050 IP20 (10шт/упак) (1/10),",RUB,517.50
sku_3b00152a,"Коннектор для с/д ленты 12В RGB IP20 (1 клипса с проводом) (10шт/упак) (1/10), LEEK",RUB,481.50
sku_06380f9c,"Коннектор прямой для с/д ленты 12В 5050 IP20 (10шт/упак) (1/100), LEEK",RUB,189.00
sku_bc2f33a6,"Коннектор прямой для с/д ленты 12В RGB IP20 (10шт/упак) (1/100), LEEK",RUB,225.00
sku_9fac5f47,"Коннектор Т-образный для с/д ленты 12В 2835 IP20 (10шт/упак) (1/100), LEEK",RUB,702.00
sku_bb46575c,"Коннектор Т-образный для с/д ленты 12В 5050 IP20 (10шт/упак) (1/100), LEEK",RUB,724.50
sku_f27c821e,"Коннектор Т-образный для с/д ленты 12В RGB IP20 (10шт/упак) (1/100), LEEK",RUB,787.50
sku_6ca090ca,"Коннектор Х-образный для с/д ленты 12В 2835 IP20 (10шт/упак) (1/100), LEEK",RUB,1017.00
sku_6b27081b,"Коннектор Х-образный для с/д ленты 12В 5050 IP20 (10шт/упак) (1/100), LEEK",RUB,1039.50
sku_82516857,"Свет-к с/д встраиваемый LE LED ARL 24W 4000K (круг) (80), LEEK",RUB,751.50
sku_96bc5522,"Светильник ОНЛАЙТ 90 157 OLP-SW1-12W-4K-WH-LED(167x167) (1/40), Онлайт",RUB,378.39
sku_9dac6214,"Светильник ОНЛАЙТ 90 158 OLP-SW1-18W-4K-WH-LED(220x220) (1/40), Онлайт",RUB,501.36
sku_d2447fd3,"Светильник ОНЛАЙТ 90 159 OLP-SW1-24W-4K-WH-LED(293x293)(1/20), Онлайт",RUB,826.38
sku_e50c25d3,"Выключатель полупроводниковый (светорегулятор) 40-400 Вт / C6-400-052 УЮТ, BYLECTRICA",RUB,1050.00
sku_414b5863,"Датчик Navigator 61 580 NS-IRM07-WH Датчик движения ИК, Navigator Group",RUB,1120.20
sku_45856ea6,"Датчик Navigator 71 961 NS-PC03-B Фотореле, Navigator Group",RUB,352.64
sku_6f0c4981,"Датчик Navigator 71 962 NS-IRM01-WH Датчик движения ИК, Navigator Group",RUB,863.55
sku_bc94b67c,"Датчик Navigator 71 965 NS-IRM04-WH Датчик движения ИК, Navigator Group",RUB,844.40
sku_7c3590db,"Датчик Navigator 71 967 NS-IRM05-WH Датчик движения ИК, Navigator Group",RUB,824.37
sku_94eaddf4,"Датчик Navigator 80 448 NS-IRM11-WH Датчик движения ИК, Navigator Group",RUB,835.86
sku_ef30b8e1,"Датчик Navigator 80 450 NS-IRM13-WH Датчик движения ИК, Navigator Group",RUB,792.11
sku_946c6725,"Датчик Navigator 80 456 NS-IRM05-BL Датчик движения ИК, Navigator Group",RUB,867.75
sku_125d8060,"Датчик движ. Navigator 71 963 IRM02 белый, Navigator Group",RUB,814.62
sku_1ad953be,"Датчик движ. Navigator 71 966 IRM04 черный, Navigator Group",RUB,844.40
sku_2881bfe7,"Таймер Navigator 61 555 NTR-E-S01-WH розет. электрон. (1/12), Navigator Group",RUB,1366.20
sku_7aaaa853,"Звонок беспроводной Intelligent батарейка/батарейка (1/60),",RUB,337.50
sku_1411056f,"Звонок беспроводной Intelligent батарейка/сеть (1/60),",RUB,375.00
sku_5542658f,"Лампа Navigator 61 385 NLL-G-T8-24-230-6.5K-G13(аналог 58Вт. 1500 мм(1/30) , Navigator Group",RUB,435.44
sku_d7a058b3,"Лампа Navigator 61 391 NLL-T8-9-230-MEAT-G13-CL(мясная) (1/25), Navigator Group",RUB,1154.97
sku_0368b832,"Индикатор напряжения КОНТАКТ 53 ЭМ,",RUB,795.30
sku_fa332cbe,"Индикатор напряжения КОНТАКТ 55 ЭМ,",RUB,818.03
sku_62c780d6,"КОНТАКТ/прозвонка 53 М,",RUB,658.95
sku_07863ee0,"Мультиметр  ОНЛАЙТ 90 232 OMT-Mm04-M8211 (M8211) (1/1),",RUB,1303.65
sku_c39ee9c5,"Мультиметр Онлайт 82 971 OMT-Mm02-830B (830B) (1/60), Navigator Group",RUB,544.29
sku_fd6dcbe4,"Мультиметр Онлайт 82 972 OMT-Mm02-832 (832) (1/60), Navigator Group",RUB,585.74
sku_b4292e59,"Мультиметр Онлайт 82 973 OMT-Mm02-838 (838) (1/60), Navigator Group",RUB,715.22
sku_cc616696,"Тестер DT-830B,",RUB,286.50
sku_34ab06e7,"Тестер DT-838 (1/100),",RUB,450.00
sku_0b3eae8e,"Выключатель автоматический HL-C16/1 1- полюс, кривая отключения C, номинальный ток 16А, EATON",RUB,540.00
sku_66aece08,"Выключатель автоматический HL-C20/1 1- полюс, кривая отключения C, номинальный ток 20А, EATON",RUB,558.00
sku_94592c52,"Выключатель автоматический HL-C25/1 1- полюс, кривая отключения C, номинальный ток 25А, EATON",RUB,540.00
sku_4fe2e01a,"Выключатель автоматический HL-C40/1 1- полюс, кривая отключения C, номинальный ток 40А, EATON",RUB,751.50
sku_15405181,"Выключатель автоматический двухполюсный 10А С ВА47-29 4.5кА, IEK",RUB,539.42
sku_52bd7800,"Выключатель автоматический двухполюсный 16А С ВА47-29 4.5кА, IEK",RUB,538.62
sku_607e35a7,"Выключатель автоматический двухполюсный 20А С ВА47-29 4.5кА, IEK",RUB,581.76
sku_221fc207,"Выключатель автоматический двухполюсный 25А C ВА47-29 C 4.5кА, IEK",RUB,526.88
sku_f4b73d7f,"Выключатель автоматический двухполюсный 32А С ВА47-29 4.5кА, IEK",RUB,526.83
sku_f91c8683,"Выключатель автоматический двухполюсный 50А С ВА47-29 4.5кА, IEK",RUB,633.87
sku_d0141db1,"Выключатель автоматический двухполюсный 63А С ВА47-29 4.5кА, IEK",RUB,577.50
sku_7ead9cec,"Выключатель автоматический однополюсный 100А С ВА47-100 10кА, IEK",RUB,1130.97
sku_6e124ac5,"Выключатель автоматический однополюсный 10А C ВА47-29 4.5кА, IEK",RUB,240.30
sku_f2752cb3,"Выключатель автоматический однополюсный 16А C ВА47-29 4.5кА, IEK",RUB,210.05
sku_9c059a50,"Выключатель автоматический однополюсный 20А С ВА47-29 4.5кА, IEK",RUB,252.26
sku_c58082e3,"Выключатель автоматический однополюсный 25А C ВА47-29 4.5кА, IEK",RUB,218.00
sku_68969457,"Выключатель автоматический однополюсный 32А C ВА47-29 4.5кА, IEK",RUB,263.46
sku_a8d28b3a,"Выключатель автоматический однополюсный 40А C ВА47-29 4.5кА, IEK",RUB,261.15
sku_029521d7,"Выключатель автоматический однополюсный 50А С ВА47-29 4.5кА, IEK",RUB,301.58
sku_873af628,"Выключатель автоматический однополюсный 63А С ВА47-29 4.5кА, IEK",RUB,316.62
sku_e5236275,"Выключатель автоматический однополюсный 6А C ВА47-29 4.5кА, IEK",RUB,263.46
sku_517f72c0,"Выключатель автоматический трехполюсный 10А C ВА47-29 4.5кА, IEK",RUB,848.18
sku_25071944,"Выключатель автоматический трехполюсный 16А C ВА47-29 4.5кА, IEK",RUB,798.60
sku_4432f265,"Выключатель автоматический трехполюсный 20А С ВА47-29 4.5кА, IEK",RUB,785.54
sku_73b3698e,"Выключатель автоматический трехполюсный 25А C ВА47-29 4.5кА, IEK",RUB,721.47
sku_b1af56e8,"Выключатель автоматический трехполюсный 32А C ВА47-29 4.5кА, IEK",RUB,779.03
sku_ae03d9bc,"Выключатель автоматический трехполюсный 40А C ВА47-29 4.5кА, IEK",RUB,809.46
sku_8b6ccd01,"Выключатель автоматический трехполюсный 50А C ВА47-29 4.5кА, IEK",RUB,981.99
sku_48cfcb1f,"Выключатель автоматический трехполюсный 63А C ВА47-29 4.5кА, IEK",RUB,963.30
sku_153a4e04,"Контактор КМИ малогабаритный 18А катушка управления 230В АС 1НО, IEK",RUB,1230.00
sku_6e41000a,"Контактор КМИ малогабаритный 9А катушка управления 230В АС 1НО, IEK",RUB,955.50
sku_66381407,"Реле тепловое РТИ-1316 9-13А, IEK",RUB,1191.00
sku_94780ad9,"Реле тепловое РТИ-1321 12-18А, IEK",RUB,1099.98
sku_382ddb82,"Реле тепловое РТИ-1322 17-25А, IEK",RUB,1077.00
sku_e43ee066,"Пробка-автомат. ПАР-16 (10),",RUB,387.00
sku_f7a40772,"Альбатрос-220/3500-AC устройство защиты от импульсных перенапряжений, УЗИП Класс III,220В,16А,",RUB,1491.75
sku_e458f238,"Реле напряжения RUCELF SRW-16A,",RUB,1387.50
sku_d3372677,"Реле напряжения RUCELF SRW-63A,",RUB,1470.00
sku_a6d3b71e,"Реле напряжения УКН-10 р в розетку HS-ELECTRO, HS-ELECTRO",RUB,1395.00
sku_974bf1df,"Тепловентилятор спиральный ZTD-20 Zerten ,",RUB,1305.00
sku_88c3defd,"Свет-к с/д герметичный LE LED RBL MW 10W (круг) (40) (без инд. упак.) (с микроволновым сенсором),",RUB,402.00
sku_a58e8f2a,"Свет-к с/д герметичный LE LED RBL MW 15W (круг) (40) (без инд. упак.) (с микроволновым сенсором),",RUB,442.50
sku_5f242727,"Свет-к с/д герметичный LE LED RBL MW 20W (круг) (40) (без инд. упак.) (с микроволновым сенсоромLE06,",RUB,514.50
sku_c7be57ac,"Свет-к с/д герметичный LE LED RBL WH 15W (круг) (10) IP65, LEEK",RUB,799.50
sku_25d5b90a,"Свет-к с/д герметичный LE LED SBL WH 15W  (квадрат) (10),",RUB,799.50
sku_93eca0e1,"Светильник ДПП 15-18-001 6500К IP65,",RUB,417.00
sku_811340d5,"Светильник ДПП 15-36-001 6500К IP65,",RUB,922.50
sku_5a69ee4d,"Светильник ДСП 12 2х10-001 IP65 , СВЕТ",RUB,630.00
sku_aa615691,"Светильник ДСП 12-2х18-001 IP65#SWEKO 2х18, СВЕТ",RUB,855.00
sku_c1049dff,"Светильник ОНЛАЙТ 90 125 OBL-O4-8-6.5K-WH-IP65-LED, Онлайт",RUB,183.69
sku_ce4ae978,"Светильник ОНЛАЙТ 90 127 OBL-O4-12-6.5K-WH-IP65-LED, Онлайт",RUB,203.91
sku_12f70885,"Светильник ОНЛАЙТ 90 129 OBL-O4-15-6.5K-WH-IP65-LED, Онлайт",RUB,226.95
sku_717f7518,"Cветодиодный светильник для растений GLANZEN RPD-0001-30-grow, GLANZEN",RUB,757.50
sku_703ed675,"Лампа Navigator 61 202 NLL-FITO-A60-10-230-E27, Navigator Group",RUB,386.58
sku_a20b7a56,"Свет-к с/д LE LED T5 FITO 12W красно-синий спектр (25) (шнур в комплекте), LEEK",RUB,612.00
sku_8a73ba96,"Свет-к с/д LE LED T5 FITO 18W красно-синий спектр (25) (шнур в комплекте), LEEK",RUB,801.00
sku_5a0fc71d,"Свет-к с/д LE LED T5 FITO 20W красно-синий спектр (25) (шнур в комплекте), LEEK",RUB,961.50
sku_560f95af,"Свет-к с/д универсальный PRE LED PLS WH 36W 6500K (4) (3500 Лм) (ЭК), PRE",RUB,904.11
sku_9956ade0,"Светильник FRAME 6060, 6500К 48 Вт,",RUB,1239.00
sku_8e798f48,"Светильник ДПО 10-4х8-002 опал, 6500К, СВЕТ",RUB,810.00
sku_94f7df9f,"Светодиодная панель GLANZEN RPD-0004-40-L 6500К (10), GLANZEN",RUB,750.00
sku_eb741aed,"Свет-к с/д (потолочный) СЛЛ 001 12Вт 6К Медуза CN (233x76) (10),",RUB,523.50
sku_e2839001,"Свет-к с/д (потолочный) СЛЛ 001 18Вт 6К Медуза  (260x80) (10), LEEK",RUB,769.50
sku_b55ea1ac,"Свет-к с/д (потолочный) СЛЛ 001 24Вт 6К Медуза (325x90) (10), LEEK",RUB,1015.50
sku_4c36ca5a,"Свет-к с/д (потолочный) СЛЛ 001 30Вт 6К Медуза  (375x100) (10), LEEK",RUB,1246.50
sku_a0f2dac7,"Свет-к с/д (потолочный) СЛЛ 002 18Вт 6К Паутина  (260x80) (10) LE 061201-028,",RUB,769.50
sku_be6c6cd0,"Свет-к с/д (потолочный) СЛЛ 003 12Вт 6K Фея CN (233x76) (10),",RUB,523.50
sku_5c21e1d9,"Свет-к с/д (потолочный) СЛЛ 003 18Вт 6К Фея  (260x80) (10),",RUB,769.50
sku_c2cbcca7,"Свет-к с/д (потолочный) СЛЛ 003 24Вт 6К Фея  (325x90) (10),",RUB,1015.50
sku_034c9436,"Свет-к с/д (потолочный) СЛЛ 003 30Вт 6К Фея (375x100) (10),",RUB,1246.50
sku_a375d1fa,"Свет-к с/д (потолочный) СЛЛ 007 12Вт 6K Сюзи CN (233x76) (10),",RUB,523.50
sku_ba2ad1a5,"Свет-к с/д (потолочный) СЛЛ 007 18Вт 6К Сюзи  (260x80) (10),",RUB,769.50
sku_080283c9,"Свет-к с/д (потолочный) СЛЛ 007 20Вт 6К Сюзи (260х80) (10),",RUB,583.50
sku_10397e89,"Свет-к с/д (потолочный) СЛЛ 007 24Вт 6К Сюзи (325x90)  (10),",RUB,1015.50
sku_73b788d6,"Свет-к с/д (потолочный) СЛЛ 007 28Вт 6К Сюзи (325x90) (10), LEEK",RUB,873.00
sku_79328cad,"Свет-к с/д (потолочный) СЛЛ 007 30Вт 6К Сюзи (375x100) (10), LEEK",RUB,1246.50
sku_73cbc9ea,"Свет-к с/д (потолочный) СЛЛ 007 36Вт 6К Сюзи (375x100) (10), LEEK",RUB,1021.50
sku_a66d8e88,"Свет-к с/д (потолочный) СЛЛ 007 48Вт 6К Сюзи (375х100) (10), LEEK",RUB,1122.00
sku_3da6b4fd,"Свет-к с/д (потолочный) СЛЛ 008 18Вт 6К Палермо (260x80) (10),",RUB,769.50
sku_8994b916,"Свет-к с/д (потолочный) СЛЛ 008 24Вт 6К Палермо (325x90) (10), LEEK",RUB,1015.50
sku_1c489b82,"Свет-к с/д (потолочный) СЛЛ 008 30Вт 6К Палермо (375x100) (10),",RUB,1246.50
sku_84748b4b,"Свет-к с/д (потолочный) СЛЛ 017 12Вт 6К Роса CN (218x218x65) (10),",RUB,627.00
sku_b5162d88,"Свет-к с/д (потолочный) СЛЛ 017 24Вт 6К Роса  (320х320х75) (10),",RUB,1135.50
sku_a6a2d6e9,"Свет-к с/д (потолочный) СЛЛ 017 30Вт 6К Роса  (365х365х85) (10), LEEK",RUB,1339.50
sku_c3366473,"Свет-к с/д (потолочный) СЛЛ 018 12Вт 6K Жемчуг CN (233x76) (10),",RUB,523.50
sku_fc4f3e2f,"Свет-к с/д (потолочный) СЛЛ 018 18Вт 6К Жемчуг  (260x80) (10) LE 061201-024, LEEK",RUB,769.50
sku_988c73af,"Свет-к с/д (потолочный) СЛЛ 018 24Вт 6К Жемчуг  (325x90) (10),",RUB,1015.50
sku_882e7470,"Свет-к с/д (потолочный) СЛЛ 018 30Вт 6К Жемчуг  (375x100) (10),",RUB,1246.50
sku_a93aa59c,"Свет-к с/д (потолочный) СЛЛ 023 24Вт 6К Звезда (325x90) (10),",RUB,1015.50
sku_141a3116,"Свет-к с/д (потолочный) СЛЛ 023 30Вт 6К Звезда (375*100) (10), LEEK",RUB,1246.50
sku_268c1695,"Свет-к с/д (потолочный) СЛЛ 026 30Вт 6К Фаворит (375*100) (10), LEEK",RUB,1246.50
